cell_id,cell_x,cell_y,cell_z,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,day
26,2800.0,4.547473508864641e-13,60.0,3.0,645890.4486761165,19887484.545623656,5666674.055934908,1988.0656427794327,0.9700631673790946,0.98466047743533,19887484.545623656,1.0984100902545395,1.711390795697422e-05,False,1809.9484522385712,4.0,645890.4486761165,156.74524284185262,2.8305586886183617e-05,-0.0357142857142857,114285714.28571428,0.0001234579500903,1
27,2100.0000000000005,1212.4355652982142,30.0,3.0,75180633.5621822,5364437.032157662,47954194.592242606,659.3170820986123,0.0835445360448681,0.2935580005100219,5366017.187047043,0.41079605601692104,0.0006455747696879,True,1604.9742261192853,3.0,75180039.55449091,6979.544826346362,0.0,0.25,58035714.28571428,0.0336805705198853,1
28,2100.0000000000005,1212.4355652982142,30.0,0.0,17689213.264909748,39977763.72470477,97810398.6790863,1206.305829251752,0.2066378993001827,0.5097675421202731,39978121.06534906,0.751604486614414,5.7559247168721934e-05,False,1604.9742261192853,5.0,17688979.768310435,4081.539399319093,2.593405979460759e-06,0.2857142857142857,81250000.0,4.9906345979045285e-05,1
29,2100.0000000000005,1212.4355652982142,30.0,3.0,3402015.283698197,9659.599658423123,4438.880043595995,753.1974861672852,0.0855720956556638,0.4669768301115389,9659.599658423123,0.4692894589269907,0.3392141935056767,False,1604.9742261192853,9.0,3402015.283698197,893.3516106922548,0.0506920819591243,0.1428571428571428,114285714.28571428,1.7706212675684067e-05,1
30,2100.0000000000005,1212.4355652982142,30.0,0.0,68212861.3584702,25016977.53115203,81058771.96872997,1931.0422949172105,0.1368259050252709,0.3682486890449534,25018736.35636356,1.2031609377219314,7.451205679019847e-05,True,1604.9742261192853,6.0,68211960.74287161,1796239.906740524,0.0673611410397706,0.0714285714285714,58035714.28571428,0.0144127202365747,1
31,2100.0000000000005,1212.4355652982142,30.0,0.0,15322034.623880316,50033033.83268351,36683109.50257868,1635.3876131600016,0.2329147232446937,0.3859785460445223,50033033.83268351,1.01894945510387,0.0002568090873576,False,1604.9742261192853,11.0,15322034.623880316,8643.333745322972,1.0302021934236353e-05,0.1964285714285714,81250000.0,0.0001011093949478,1
32,2100.0000000000005,1212.4355652982142,30.0,0.0,1666258.1956788322,18894770.81193041,910846.1180324322,1740.1810491149636,2.369653271166301,0.95666473033188,18894770.81193041,1.0842423640176448,0.0,False,1604.9742261192853,12.0,1666258.1956788322,0.0,8.094588596848322e-05,0.0535714285714285,114285714.28571428,0.012800970180626998,1
33,2100.0000000000005,1212.4355652982142,30.0,1.0,84412098.4266952,60470034.18229418,63472278.6787492,2510.7931371105465,0.0779183428019844,0.4674434921729259,60470034.18229418,1.564382216393261,0.1275198468565122,True,1604.9742261192853,6.0,84410496.7823644,8944727.983460484,0.0288254404731494,0.3214285714285714,58035714.28571428,0.0441231768849442,1
34,2100.0000000000005,1212.4355652982142,30.0,0.0,36135665.49728868,3577968.237115022,2144.0438656614115,328.7963119425601,0.0993297413245418,0.4001999677062178,3577968.237115022,0.204860804984742,0.0001995273608026,False,1604.9742261192853,11.0,36135605.92929619,357.34064427690186,0.0001996253839161,0.2321428571428571,81250000.0,5.4175117634249215e-06,1
35,2100.0000000000005,1212.4355652982142,30.0,0.0,2020601.6750777303,18300649.620799948,1722.0524011351094,757.7060011751878,0.6224293564971604,0.9999998775749852,18300649.620799948,0.4720985476553525,0.0,False,1604.9742261192853,3.0,2020601.6750777303,0.0,5.1321289201301394e-05,0.1964285714285714,114285714.28571428,0.0380574062878867,1
